"","Date","notes"
"1",2018-08-27,"Right after leaving for 3 days at Weber's"
"2",2018-09-04,"at camp bow wow"
"3",2018-10-01,"dogs at Webers from Sept 18-30"
"4",2018-10-09,"dogs at Webers from Oct 5-8"
"5",2018-10-16,"on 10/15 all had hair cuts"
"6",2018-10-22,"dogs at Webers from Oct 18-22"
"7",2018-11-18,"dogs at Webers from Nov 10-17"
"8",2019-01-08,"Simone/Gagne  at Webers from Dec 20-Jan 4, Raisin at PC Dec 20-Jan7"
"9",2019-09-06,"Gagne died 9/8/2019"
"10",2019-11-04,"on vacation? Dogs at kennel?"
"11",2020-02-03,"at Kennel?"
"12",2020-05-23,"first haircut in 3-4 months"
"13",2020-06-23,"in PC June 23-July 10, no wts taken, Raisin with us, Simone in kennel"
"14",2020-08-07,"in Denver and PC aug 9-aug 31, no wts taken, Raisin with us, Simone in kennel"
"15",2020-09-14,"at kennel for 4 days"
"16",2020-11-02,"morning before haircut"
"17",2020-11-03,"day after haircut"
"18",2021-01-20,"in PC 20Dec to 18Jan"
"19",2021-01-24,"Simone had neurological problem- turned  in circles- abated over time"
"20",2021-03-18,"in PC 27feb to 14mar"
"21",2021-07-22,"was in PC since June 26"
"22",2021-08-31,"in Oregon since Aug 19"
"23",2021-09-30,"in Utah since sep 18"
"24",2022-01-17,"in PC dec 20 to jan 17"
"25",2022-02-21,"In Florida since feb 12"
"26",2022-03-16,"haircut"
